processor
Xeon E3-1105C
Xeon E3-1125C
Xeon E3-1220
Xeon E3-1220L
Xeon E3-1225
Xeon E3-1230
Xeon E3-1235
Xeon E3-1240
Xeon E3-1245
Xeon E3-1260L
Xeon E3-1265L
Xeon E3-1270
Xeon E3-1275
Xeon E3-1280
Xeon E3-1290
Xeon E5-1410
Xeon E5-1428L
Xeon E5-2403
Xeon E5-2407
Xeon E5-2418L
Xeon E5-2420
Xeon E5-2428L
Xeon E5-2430
Xeon E5-2430L
Xeon E5-2440
Xeon E5-2448L
Xeon E5-2449L
Xeon E5-2450
Xeon E5-2450L
Xeon E5-2470
Xeon E5-1603
Xeon E5-1607
Xeon E5-1620
Xeon E5-1650
Xeon E5-1660
Xeon E5-2637
Xeon E5-2603
Xeon E5-2609
Xeon E5-2618L
Xeon E5-2620
Xeon E5-2628L
Xeon E5-2630
Xeon E5-2630L
Xeon E5-2640
Xeon E5-2643
Xeon E5-2648L
Xeon E5-2650
Xeon E5-2650L
Xeon E5-2658
Xeon E5-2660
Xeon E5-2665
Xeon E5-2667
Xeon E5-2670
Xeon E5-2680
Xeon E5-2687W
Xeon E5-2689
Xeon E5-2690
Xeon E5-4603
Xeon E5-4607
Xeon E5-4610
Xeon E5-4617
Xeon E5-4620
Xeon E5-4640
Xeon E5-4650
Xeon E5-4650L
